t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1775393762,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775393792,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775393822,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775393852,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775393882,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775393912,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775393942,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775393972,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775394002,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775394032,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775394062,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775394092,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775394122,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775394152,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775394182,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775394212,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775394242,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775394272,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775394302,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775394332,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775394362,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775394392,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775394422,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775394452,88,13766,431.125,4,1686.0627659912514,10.5,181.0,1598.5999999999997,7450.339999999991,13766.0,13766.0
1775394482,1257,13766,42.99513618677043,1,476.24701373060935,3.0,4.0,112.54999999999995,366.0999999999998,559.5300000000016,13531.187000000029
1775394512,1258,13766,43.22762645914397,1,476.2853165497181,3.0,4.0,113.0,366.0999999999998,559.5300000000016,13531.187000000029
1775394542,1258,13766,43.22762645914397,1,476.2853165497181,3.0,4.0,113.0,366.0999999999998,559.5300000000016,13531.187000000029
1775394572,1259,13766,43.235408560311285,1,476.28472398042175,3.0,4.0,113.0,366.0999999999998,559.5300000000016,13531.187000000029
1775394602,1260,13766,43.66050583657587,1,476.44287543279404,3.0,4.0,113.54999999999995,375.71999999999935,559.5300000000016,13531.187000000029
1775394632,1260,13766,43.66050583657587,1,476.44287543279404,3.0,4.0,113.54999999999995,375.71999999999935,559.5300000000016,13531.187000000029
1775394662,1260,13766,43.66050583657587,1,476.44287543279404,3.0,4.0,113.54999999999995,375.71999999999935,559.5300000000016,13531.187000000029
1775394692,1260,13766,43.66050583657587,1,476.44287543279404,3.0,4.0,113.54999999999995,375.71999999999935,559.5300000000016,13531.187000000029
1775394722,1260,13766,43.66050583657587,1,476.44287543279404,3.0,4.0,113.54999999999995,375.71999999999935,559.5300000000016,13531.187000000029
1775394752,1260,13766,43.66050583657587,1,476.44287543279404,3.0,4.0,113.54999999999995,375.71999999999935,559.5300000000016,13531.187000000029
1775394782,1261,13766,43.67801556420233,1,476.4417104227206,3.0,4.0,113.54999999999995,375.71999999999935,559.5300000000016,13531.187000000029
1775394812,1261,13766,43.67801556420233,1,476.4417104227206,3.0,4.0,113.54999999999995,375.71999999999935,559.5300000000016,13531.187000000029
1775394842,1261,13766,43.67801556420233,1,476.4417104227206,3.0,4.0,113.54999999999995,375.71999999999935,559.5300000000016,13531.187000000029
