t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1775393552,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775393582,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775393612,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775393642,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775393672,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775393702,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775393732,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775393762,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775393792,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775393822,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775393852,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775393882,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775393912,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775393942,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775393972,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394002,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394032,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394062,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394092,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394122,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394152,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394182,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394212,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394242,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394272,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394302,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394332,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394362,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394392,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394422,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394452,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394482,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394512,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394542,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394572,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394602,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394632,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394662,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394692,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394722,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394752,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394782,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394812,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775394842,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
